Rotate90 FlippedRotate270 FlippedRotate270 Rotate270 Rotate90 FlippedRotate270 Rotate270 FlippedRotate90 Rotate90 FlippedRotate270 FlippedRotate180 FlippedRotate180 
FlippedRotate90 FlippedRotate270 FlippedRotate90 Rotate90 Rotate180 Rotate270 Rotate180 FlippedRotate270 Rotate180 FlippedRotate180 Rotate270 FlippedRotate90 
Rotate90 Flipped Flipped Flipped Flipped FlippedRotate180 Rotate270 Rotate90 Flipped FlippedRotate270 Rotate270 FlippedRotate180 
Rotate90 Rotate180 Rotate270 FlippedRotate180 Rotate270 FlippedRotate180 FlippedRotate270 Flipped FlippedRotate90 FlippedRotate90 FlippedRotate90 FlippedRotate270 
Rotate270 Rotate180 Rotate180 FlippedRotate270 FlippedRotate180 Rotate180 FlippedRotate90 Flipped FlippedRotate180 Rotate270 Rotate90 Rotate90 
Rotate180 Rotate180 Rotate180 Rotate270 Flipped FlippedRotate270 Rotate180 Rotate180 Rotate270 FlippedRotate180 FlippedRotate180 Rotate180 
FlippedRotate270 Rotate180 Rotate90 FlippedRotate270 Rotate180 FlippedRotate270 FlippedRotate180 Rotate270 FlippedRotate90 FlippedRotate270 Rotate90 FlippedRotate270 
Rotate180 Rotate90 Flipped Rotate180 FlippedRotate90 Flipped Rotate90 FlippedRotate270 Rotate90 Flipped Rotate90 FlippedRotate90 
Rotate270 FlippedRotate90 Rotate270 Rotate180 Rotate180 Flipped Rotate270 Rotate90 Rotate90 FlippedRotate90 FlippedRotate180 FlippedRotate270 
Flipped FlippedRotate180 FlippedRotate90 FlippedRotate90 Rotate180 FlippedRotate270 Rotate270 Rotate90 FlippedRotate180 FlippedRotate270 FlippedRotate90 Rotate180 
FlippedRotate270 FlippedRotate270 Rotate90 FlippedRotate270 Rotate180 Rotate180 Rotate180 Flipped Rotate270 Rotate90 Rotate270 Rotate90 
Rotate180 Flipped Rotate270 Flipped Rotate180 FlippedRotate270 Rotate180 Flipped Rotate270 FlippedRotate180 FlippedRotate270 Rotate270 
